model,accuracy,precision_macro,recall_macro,f1_macro
Linear SVM,0.9195710455764075,0.9274559939127951,0.8704155740029874,0.894483960317917
Random Forest,0.8927613941018767,0.9297019875735727,0.7766951148048152,0.8160656327268828
Logistic Regression,0.9061662198391421,0.7901952013098731,0.7567380377711032,0.769469934954223
Naive Bayes,0.9142091152815014,0.7979276936379834,0.7504957516603479,0.7676162381719934
Decision Tree,0.8284182305630027,0.7459926707398836,0.676739140979185,0.6946844199764455
